companyName,accountID,country,city,state,companyType,rapNetMemberSince,totalRating,yearsSinceJoining
AB DIAMOND CO.,118832,HONG KONG,,,Diamond Dealer/Broker,2021-02-05T00:00:00,0,3
ABA Diamond Corp.,42650,USA,New York,New York,Diamond Manufacturer/Cutter,2008-01-01T00:00:00,0,16
Abaco D'arte,99195,ITALY,Genova,Italy,Independent Jeweler,2015-05-12T00:00:00,0,9
Abayev & Co.,120654,USA,Brooklyn,New York,Jewelry Retailer,2021-08-02T00:00:00,0,3
ABBA Jewellery (Mfg.) Ltd.,82725,HONG KONG,Kowloon,,Diamond Dealer/Broker,2012-03-16T00:00:00,0,12
ABBGS,67730,USA,Saint Louis,Missouri,Independent Jeweler,2008-11-30T00:00:00,0,16
Abboud Diamonds Antwerp BVBA,111027,BELGIUM,Antwerp,,Diamond Dealer/Broker,2018-10-16T00:00:00,0,6
ABC Diamonds,23298,USA,Chicago,Illinois,Diamond Dealer/Broker,2000-12-12T00:00:00,0,24
ABC DIAMONDS LTD.,23751,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2012-04-16T00:00:00,0,12
ABC JEWELRY CO,21613,USA,Portland,Oregon,Independent Jeweler,1999-02-11T00:00:00,0,25
Abdoulaye Toure,117233,USA,Gainesville,Florida,Diamond Dealer/Broker,2020-08-13T00:00:00,0,4
ABDUL MOTIWALA JEWELLERS LLP,124289,INDIA,MUMBAI,Maharashtra,Jewelry Retailer,2022-11-17T00:00:00,0,2
ABDULAMIR & HUSSAIN ALARBASH JEWELLERY CO,36999,KUWAIT,Kuwait,Kuwait,Diamond Dealer/Broker,2013-12-05T00:00:00,0,11
ABDULLAH S N BIN KHATHLAN EST,116007,UAE,Sharjah,,Jewelry Manufacturer,2020-02-10T00:00:00,0,4
ABDULLATIF HEFNI JEWELRY,36624,SAUDI ARABIA,Jeddah,,Independent Jeweler,2009-01-21T00:00:00,0,15
Abe Lesser,89006,USA,New York,New York,Diamond Dealer/Broker,2013-08-02T00:00:00,0,11
Abe Mor Co.,12140,USA,New York,New York,Diamond Manufacturer/Cutter,2005-04-04T00:00:00,0,19
Abee Impex Ltd,116839,HONG KONG,HUNG HOM,,Diamond Dealer/Broker,2020-06-26T00:00:00,0,4
Abelini Jewelers,111657,UNITED KINGDOM,London,,Independent Jeweler,2019-01-08T00:00:00,0,5
ABELL INC,15167,USA,Chicago,Illinois,Independent Jeweler,2005-07-06T00:00:00,0,19
Abercrombie G & P M,63030,USA,Austin,Texas,Independent Jeweler,2019-05-15T00:00:00,0,5
ABHAY GEMS,112689,INDIA,Surat,Gujarat,Diamond Manufacturer/Cutter,2019-03-26T00:00:00,0,5
ABHAY GEMS DMCC,124557,UAE,DUBAI,Dubai,Diamond Dealer/Broker,2022-12-27T00:00:00,0,2
ABHEEK EXPORTS,71908,INDIA,Mumbai,Maharashtra,Diamond Dealer/Broker,2009-10-01T00:00:00,0,15
ABHINANDAN GEMS,116176,INDIA,Surat.,Gujarat,Diamond Dealer/Broker,2020-02-27T00:00:00,0,4
ACCENT ENTERPRISES LLP,127003,INDIA,MUMBAI,Maharashtra,Jewelry Retailer,2024-01-11T00:00:00,0,Less than 1 year
Accent Jewelers & Loans,31909,USA,Memphis,Tennessee,Independent Jeweler 1-5 Stores,2006-06-09T00:00:00,0,18
ACCUDIAM INC.,57455,USA,NEW YORK,New York,Diamond Dealer/Broker,2008-09-13T00:00:00,0,16
Accur8 Diamonds Pvt. Ltd.,106782,INDIA,Surat,Gujarat,"Diamond Manufacturer/Cutter, Diamond Mining",2017-06-16T00:00:00,8,7
Ace Buyers,93029,USA,Traverse City,Michigan,Pawn shop,2018-01-08T00:00:00,0,6
Ace Diamonds and Estate Buyers,23828,USA,New York,New York,Diamond Manufacturer/Cutter,2003-10-29T00:00:00,0,21
ACE DIAMONDS CO,16156,TAIWAN,Taipei,Changhua,Diamond Dealer/Broker,2023-02-20T00:00:00,0,1
Ace International Co.,125206,HONG KONG,TSIM SHA TSUI,Kowloon City,Diamond Dealer/Broker,2023-03-23T00:00:00,0,1
"ACE MARK CO., LTD.",59219,JAPAN,Tokyo,Tokyo,Diamond Dealer/Broker,2009-11-22T00:00:00,0,15
Achieve Impex,78087,INDIA,Mumbai,Maharashtra,Diamond Dealer/Broker,2011-04-14T00:00:00,0,13
Achira Diam,101948,INDIA,SURAT,Gujarat,Rough Diamond Dealer,2023-07-12T00:00:00,0,1
ACLASS DIAMOND LLP,122267,INDIA,CHENNAI,Tamil Nadu,Wholesaler ,2022-02-10T00:00:00,0,2
ACORI Diamonds & Designs,101050,USA,Friendswood,Texas,Independent Jeweler,2015-10-19T00:00:00,0,9
Activ-Gem Inc.,42213,USA,HOUSTON,Texas,Diamond Dealer/Broker,2003-10-17T00:00:00,0,21
ACUT,24917,USA,New York,New York,Diamond Manufacturer/Cutter,2008-04-30T00:00:00,0,16
AD IMPEX,122018,INDIA,SURAT,Gujarat,,2022-01-19T00:00:00,0,2
AD Treasure Ltd,107110,UNITED KINGDOM,London,Aberdeen,Diamond Dealer/Broker,2017-07-31T00:00:00,0,7
ADA Jewelry LLC,123492,USA,,,Jewelry Manufacturer,2022-07-15T13:43:00,0,2
ADAMANT EXPORTS LLP,101163,INDIA,mumbai,Maharashtra,Diamond Manufacturer/Cutter,2015-10-30T00:00:00,0,9
Adamant Fine Jewelry,109946,USA,San Francisco,California,Jewelry Retailer,2018-06-08T00:00:00,0,6
Adamant GmbH,125769,GERMANY,Berlin,Berlin,Colored Stone Dealer/Broker,2023-06-22T07:29:00,0,1
ADAMAS - michael shields,37425,USA,Sparks,Maryland,Diamond Dealer/Broker,2001-07-10T00:00:00,0,23
ADAMAS CED,24227,MEXICO,Guadalajara,,Diamond Dealer/Broker,2005-06-10T00:00:00,0,19
Adamas Concept Limited,100157,HONG KONG,Hong Kong,,"Jewelry Retail Chain 1-5 Stores, Independent Jeweler 1-5 Stores",2015-07-22T00:00:00,0,9
"Adamas Diamonds Co., Ltd",125648,TAIWAN,TAIPEI,Taipei,Diamond Dealer/Broker,2023-06-07T00:00:00,0,1
58 Diamond,112065,CHINA,Shenzhen,Guangdong,Diamond Dealer/Broker,2019-02-14T00:00:00,0,5
5C Hong Kong Ltd.,75449,HONG KONG,Hung Hom,Kowloon,Diamond Dealer/Broker,2011-08-11T00:00:00,0,13
6C Diamond,70468,CHINA,Shanghai,Shanghai,Independent Jeweler,2009-01-16T00:00:00,0,15
77 Diamonds,71777,UNITED KINGDOM,London,,Diamond Dealer/Broker,2009-09-16T00:00:00,0,15
777 DIAMOND DMCC,117726,UAE,Dubai,,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2020-09-29T00:00:00,0,4
8 STARS LIMITED,88328,HONG KONG,Hong Kong,,Diamond Manufacturer/Cutter,2013-02-26T00:00:00,0,11
88 Jewellery,74237,INDONESIA,Jakarta,,Independent Jeweler,2010-04-14T00:00:00,0,14
"88729, Swiss Connection & Gold",88729,USA,Anaheim,California,Independent Jeweler,2013-03-22T00:00:00,0,11
89diamonds,120871,NETHERLANDS,Enschede,,Diamond and Pearl Dealer/Broker,2021-08-30T00:00:00,0,3
981 Group Company Limited,125187,THAILAND,Bangkok,,Independent Jeweler,2023-03-21T07:04:00,0,1
9D DIAM,124595,INDIA,MUMBAI,Maharashtra,Jewelry Retailer,2022-12-30T00:00:00,0,2
9STONES,127721,INDIA,surat,Gujarat,Trade Association,2024-04-09T00:00:00,0,Less than 1 year
"A & B Pawn & Jewelry, Inc.",73490,USA,Van Buren,Arkansas,"Independent Jeweler, Pawn shop",2018-03-14T00:00:00,0,6
A & G JEWELERS,115469,USA,,,Jewelry Retailer,2019-12-24T00:00:00,0,5
A & J JEWELERS,24780,USA,Sneilville,Georgia,Independent Jeweler,2013-04-03T00:00:00,0,11
A & S BROS LIMITED,98356,HONG KONG,Hung Hom,,Diamond Manufacturer/Cutter,2015-03-17T00:00:00,0,9
A & S Luxury LLC,113003,USA,,,,2019-04-18T00:00:00,0,5
"A & V IMPORTS, INC.",18999,USA,New York,New York,Diamond Dealer/Broker,2001-02-23T00:00:00,0,23
A A MOTIWALA JEWELLERS PRIVATE LIMITED,127207,INDIA,Mumbai,Maharashtra,,2024-02-16T05:50:00,0,Less than 1 year
A and R creation of Ny,122418,USA,New York,New York,Wholesaler ,2022-02-23T00:00:00,0,2
A Anil Diajewels,105814,INDIA,Surat,Gujarat,Diamond Dealer/Broker,2017-02-28T00:00:00,0,7
A B Gems,119832,USA,San Francisco,California,Diamond Dealer/Broker,2021-05-10T00:00:00,0,3
A BHANSALI DIAMONDS,113112,INDIA,NEW DELHI,Delhi,Diamond Dealer/Broker,2019-05-02T00:00:00,0,5
A Diamond,103252,HONG KONG,Tsimshatsui,,Jewelry Retail Chain,2016-04-17T00:00:00,0,8
A F Special Diamonds Inc.,71136,USA,Los Angeles,California,Diamond Dealer/Broker,2009-05-28T00:00:00,0,15
A.RIDAAN DIAMOND,122247,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2022-02-09T00:00:00,0,2
A.Ruppenthal KG,100509,GERMANY,,,Diamond Dealer/Broker,2015-08-25T00:00:00,0,9
A.S LUGANO DIAMONDS LTD.,27112,ISRAEL,Ramat Gan,Central District,Diamond Manufacturer/Cutter,2005-11-18T00:00:00,0,19
A.Stern Diamonds,62770,USA,ROCKVILLE,Maryland,Diamond Dealer/Broker,2006-07-07T00:00:00,0,18
A.T. Watkinson Limited,117340,UNITED KINGDOM,London,,Independent Jeweler,2020-08-25T00:00:00,0,4
A.V. DIAM (HK) LIMITED,118763,HONG KONG,TSIM SHA TSUI,,Diamond Dealer/Broker,2021-01-27T00:00:00,1,3
A.Weinstein Diamonds Ltd,111911,ISRAEL,Ramat Gan,,Diamond Dealer/Broker,2019-01-30T00:00:00,0,5
A.Woodhouse & Son,76769,USA,Greenwich,Connecticut,Independent Jeweler,2011-01-05T00:00:00,0,13
A² Diamond,126699,BELGIUM,Antwerp,Antwerp,Diamond Dealer/Broker,2023-11-15T00:00:00,0,1
A2J Exports,106671,INDIA,Surat,Gujarat,Diamond Dealer/Broker,2017-06-06T00:00:00,0,7
AA FINE CARATS PVT. LTD.,112271,INDIA,DELHI,Delhi,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker, Jewelry Manufacturer",2019-02-27T00:00:00,0,5
AA Kim’s Fine Jewelry Inc.,66405,USA,New York,New York,Diamond Dealer/Broker,2007-03-08T00:00:00,0,17
AA Mouldings Pty Ltd,68744,AUSTRALIA,Woodville,Australian Capital Territory,Jewelry Manufacturer,2010-03-10T00:00:00,0,14
"AAA FAMILY GEMS, INC",40198,USA,Tustin,California,Independent Jeweler,2011-04-13T00:00:00,0,13
AAA Jewelers,79828,USA,Westmont,Illinois,Jewelry Retail Chain,2012-01-13T00:00:00,0,12
AAA Jewelry,53524,USA,Salt Lake City,Utah,Independent Jeweler,2011-03-08T00:00:00,0,13
AAA Jewelry & Diamond Exchange Inc.,4605,USA,Downers Grove,Illinois,Independent Jeweler,2024-06-19T18:34:00,0,Less than 1 year
AAA JEWELRY SERVICES,123722,USA,Aventura,Florida,Diamond Dealer/Broker,2022-08-23T00:00:00,0,2
AABHUSHAN,111295,INDIA,BANGALORE,Karnataka,Independent Jeweler,2018-11-13T00:00:00,0,6
AADI DIAM,125499,INDIA,surat,Gujarat,Diamond Manufacturer/Cutter,2023-05-08T00:00:00,0,1
AADI DIAMOND,127333,INDIA,SURAT,Gujarat,,2024-03-05T06:41:00,0,Less than 1 year
AADI EXPORTS,91171,INDIA,MUMBAI,Maharashtra,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2014-07-15T00:00:00,0,10
AADI EXPORTS-TARUN SHAH,122852,INDIA,MUMBAI,Maharashtra,,2022-04-11T00:00:00,0,2
AADI GEMS -MUMBAI,109427,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2018-04-17T00:00:00,0,6
AADI GEMS -SURAT,116126,INDIA,SURAT,Gujarat,Diamond Manufacturer/Cutter,2020-02-25T00:00:00,0,4
Abhinandan Impex,105793,INDIA,Navsari,Gujarat,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2017-02-24T00:00:00,0,7
ABHINANDAN SOLITAIRES LLP,89124,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2013-04-23T00:00:00,0,11
ABHINAV DIAMONDS,111598,INDIA,MUMABI,Maharashtra,Diamond Dealer/Broker,2018-12-28T00:00:00,0,6
ABHIPRIYA JEWELLERS,125983,INDIA,MUMBAI,Maharashtra,,2023-07-19T04:25:00,0,1
ABHISHEK PAREKH,115347,INDIA,SURAT,Gujarat,Diamond Dealer/Broker,2019-12-03T00:00:00,0,5
ABHYA CREATIONS,78965,INDIA,new delhi,Delhi,Jewelry Manufacturer,2011-06-23T00:00:00,0,13
ABHYUDAY GEMS,113580,INDIA,SURAT,Gujarat,Diamond Dealer/Broker,2019-06-11T00:00:00,0,5
ABHYUDAY JEWELS PVT.LTD.,90989,INDIA,AHMEDABAD,Gujarat,Diamond Manufacturer/Cutter,2013-09-17T00:00:00,0,11
ABIDA JEWELLERY L.L.C,87918,UAE,DUBAI,DUBAI,Diamond Manufacturer/Cutter,2013-01-28T00:00:00,0,11
ABJEWEL DIAMOND LLC,118766,UAE,DUBAI,DUBAI,Diamond Dealer/Broker,2021-01-28T00:00:00,0,3
ABN AMRO BANK BELGIE NV,22391,BELGIUM,Antwerp,,Finance/Banking,2007-07-26T00:00:00,0,17
Abouchar SA,127657,SWITZERLAND,Geneva,Geneva,Gem Dealer ,2024-04-04T00:00:00,0,Less than 1 year
"ABOVE CO., LTD.",107929,THAILAND,Bangkok,Amnat Charoen,"Diamond Dealer/Broker, Independent Jeweler 1-5 Stores",2017-10-31T00:00:00,0,7
ABQ Gold & Silver Exchange,23657,USA,Albuquerque,New Mexico,Independent Jeweler,2011-03-22T00:00:00,0,13
Abraham Hochman,23435,USA,New York,New York,Diamond Dealer/Broker,2005-05-27T00:00:00,0,19
Abraham Jakobovitsh,120264,ISRAEL,Ramat Gan,Central District,Diamond Dealer/Broker,2018-06-28T00:00:00,0,6
Abraham Joseph Fine Jewelers,99736,USA,Charlotte,North Carolina,Independent Jeweler,2017-10-27T00:00:00,0,7
