Diamond ID,GIA Report number,Shape,Size,Color,Clarity,Cut,Polish,Symmetry,Fluorescence,Lab,Ratio,Depth,Table,Measurements,Girdle,Culet,Treatment,Star Length,Pavilion,Crown,Shade,Inclusion,Brand,Rap Spec,Key To Symbols,Lab Comment,Member Comment,Vendor Stock number,$/ct,%Rap,Total,Cash: $/ct,Cash: %Rap,Cash: Total,Seller ID,Seller,City,State,Country,Notes,Last Updated,Location,Item Page,Rating,Availability,Diamond Type,videoLink,imageURL,certificateURL
151601153,574355400,Round,1.0,L,SI2,EX,EX,VG,None,IGI,,62.4,58.0,6.32-6.36x3.96,M-STK,-,-,,"42.5%, 40.6°","15.5%, 36.6°",Green,No Milky.,,-,-,-,"Net Price With Bill,QBC-6478/6479,Mobile No.7738951193,Contact On WhatsApp:- +971551278012 Mr.Piyush",SRADZ2900,744.0,-0.69,744.0,,,,68981,SUN RAYS,Mumbai,,India,"Net Price With Bill,QBC-6478/6479,Mobile No.7738951193,Contact On WhatsApp:- +971551278012 Mr.Piyush",12-26-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=574355400,,STPS,,https://v3603660.v360.in/vision360.html?d=574355400,https://v360.in/V360Images.aspx?cid=nivoda&d=574355400,https://s3.amazonaws.com/rap.certs/IGI/Certificates/2023/4/18/574355400.pdf
128516100,2396447337,Cushion Modified,1.06,H,SI1,,G,G,Strong,GIA,1.178,72.4,57.0,6.22x5.28x3.83,"VTK-XTK, Faceted",None,-,,-,-,,-,,-,"Feather, Crystal, Cloud, Needle","Additional clouds, pinpoints and surface graining are not shown.",,78832,962.0,-0.74,1019.72,,,,75660,MEET GEMS - Keval Shingala,Mumbai,,India,,12-25-2024,IND,http://www.gia.edu/cs/Satellite?reportno=2396447337&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,G,,,https://v360.in/detail/1536_147-83-57,https://certs.rapnet.com/UserFolders/75660/Certs/
164593668,,Sq. Emerald,2.02,K,VS1,,EX,VG,None,HRD,1.038,70.1,67.0,6.88x6.63x4.65,M-M,None,-,,-,"16.5%, ",None,"Black:BT0. Open:OT1. White:WT1,WC1. No Milky.",,-,-,-,[PHONE +224020333 Login to our website www.sj.world for better price],651074,1798.0,-0.71,3631.96,,,,90062,SJW SHIVAM JEWELS PRIVATE LIMITED,Mumbai,,India,[PHONE +224020333 Login to our website www.sj.world for better price],12-26-2024,IND,,100.0,STPS,,,https://thnk.azureedge.net/detail/media/Video/OdwOiXc1qyS9Hdl3dXdrnQ--,
157827078,606338629,Pear,1.6,J,VVS1,VG,EX,EX,None,IGI,1.6,64.7,62.0,10.11x6.32x4.09,"STK-STK, 4.8%",-,-,,"45%, 40.4°","15%, 38.8°",,-,,-,"Feather, Pinpoint",N/A,,93944,1891.0,-0.69,3025.6,,,,75660,MEET GEMS - Keval Shingala,Mumbai,,India,,12-25-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=606338629,,G,,,https://v360.in/detail/1536_151-56-18,https://s3.amazonaws.com/rap.certs/IGI/Certificates//606338629.pdf
150831115,467159526,Round,1.0,I,SI2,G,EX,G,None,IGI,,60.9,64.0,6.24-6.33x3.83,M-VTK,-,-,,"41.5%, 39.6°","14.5%, 37.9°",None,No Milky.,,-,-,-,NO BGM Wechat:kbgems Harshil Shah +91 9833951939,14K2-9,1064.16,-0.704,1064.16,,,,67551,K. B. GEMS,,,India,NO BGM Wechat:kbgems Harshil Shah +91 9833951939,12-26-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=467159526,,STPS,,https://diam360.in/files/Dia%20Image/newvideos/vision360.html?d=14K2-9&zoomslide=1,https://diam360.in/StoneDetailsFinal.aspx?Pcsid=14K2-9,https://s3.amazonaws.com/rap.certs/IGI/Certificates/2021/6/22/467159526.pdf
163774478,1498688280,Heart,1.01,I,SI2,,EX,VG,Faint,GIA,0.899,61.6,58.0,6.17-6.86x4.23,"M-STK, Faceted",None,-,,-,-,None,-,,-,"Feather, Crystal, Needle",Clarity grade is based on clouds that are not shown.,LIGHT  MILKY  (SKYPE ID:-Mox impex) Anil Hinsu MO:-+919825132827,521A-8,870.0,-0.7,878.7,,,,112867,MOX IMPEX -SURAT 2,,,India,LIGHT  MILKY  (SKYPE ID:-Mox impex) Anil Hinsu MO:-+919825132827,12-26-2024,IND,http://www.gia.edu/cs/Satellite?reportno=1498688280&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,G,,,,https://certs.rapnet.com/UserFolders/112867/Certs/
159793170,,Sq. Emerald,0.9,I,IF,,VG,VG,None,HRD,1.016,69.6,72.0,5.15x5.07x3.53,TK-TK,None,-,,-,"14%, ",None,No black. No Open. No White. No Milky.,,-,-,MINOR GRAINING,[ WhatsApp +91 98333 98131 WhatsApp +1(332)273-9529 Login to our website www.sj.world for better price ],282412,1134.0,-0.73,1020.6,,,,125698,Shivam Jewels Inc,Mumbai,,India,[ WhatsApp +91 98333 98131 WhatsApp +1(332)273-9529 Login to our website www.sj.world for better price ],12-24-2024,IND,,,STPS,,,https://thnk.azureedge.net/detail/media/Video/3mXKXt3SbGCAusHzSKAZaw--,
151732243,2466277581,Round,1.52,E,IF,VG,EX,EX,Very Strong,GIA,,61.6,62.0,7.32-7.37x4.52,"STK-TK, 5%, Faceted",None,-,50.0,"45%, 42°","11.5%, 31°",,Black:BT0. No Open. No Milky.,,RapSpec B5,-,Minor details of polish are not shown.,NO BGM,SPD2466277581,5828.0,-0.69,8858.56,,,,44659,ROSY BLUE (INDIA) PVT LTD,Mumbai,,India,NO BGM,12-26-2024,IND,http://www.gia.edu/cs/Satellite?reportno=2466277581&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,,,,,https://certs.rapnet.com/UserFolders/44659/Certs/
160497684,6491240195,Emerald,0.9,K,VS1,,EX,VG,Faint,GIA,1.347,72.2,66.0,6.06x4.50x3.25,"STK-VTK, Polished",None,-,,-,-,Faint Brown,Black:BT0. White:WT0. No Milky.,,-,"Cavity, Pinpoint",-,Light Brown - For final price & full inventory visit www.kirangems.com or contact your sales executive for further details.,100759795646,722.0,-0.723,649.8,,,,62919,KIRAN GEMS PVT. LTD.,Mumbai,,India,Light Brown - For final price & full inventory visit www.kirangems.com or contact your sales executive for further details.,12-26-2024,IND,http://www.gia.edu/cs/Satellite?reportno=6491240195&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,G,,https://photo.diamondasset.in/photo/Video.jsp?idv=6491240195&v=6,https://diamonds.kirangems.com/GemKOnline/DiaSearch/ImageZoom.jsp?ReportNo=6491240195&StoneNo=100759795646,https://certs.rapnet.com/UserFolders/62919/Certs/
157827093,610308399,Round,1.14,J,SI1,EX,EX,EX,None,IGI,,63.3,58.0,6.58-6.62x4.17,"STK-STK, 4.4%",-,-,,"43%, 41°","15.5%, 36.5°",,-,,-,"Cloud, Feather, Crystal",-,,94016,986.0,-0.71,1124.04,,,,75660,MEET GEMS - Keval Shingala,Mumbai,,India,,12-25-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=610308399,,G,,,https://v360.in/detail/1536_120-07-23,https://s3.amazonaws.com/rap.certs/IGI/Certificates//610308399.pdf
157827096,610305762,Round,1.51,K,SI1,EX,EX,EX,None,IGI,,63.3,59.0,7.24-7.28x4.59,"M-STK, 4.3%, Faceted",-,-,,"44%, 41.3°","15%, 36.3°",,-,,-,"Crystal, Feather, Cloud",-,,93888,1350.0,-0.7,2038.5,,,,75660,MEET GEMS - Keval Shingala,Mumbai,,India,,12-25-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=610305762,,G,,,https://v360.in/detail/1536_151-90-13,https://s3.amazonaws.com/rap.certs/IGI/Certificates//610305762.pdf
152403992,230000057359,Pear,1.5,H,SI2,,VG,VG,None,HRD,1.517,60.5,59.0,9.63x6.35x3.84,"TK-TK, 6%, Faceted",-,-,,"40.5%, ","14.5%, ",,-,,-,-,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,MIX TINGE,LOT-11989,1664.0,-0.68,2496.0,,,,49688,SAUMIL DIAMOND,Mumbai,,India,MIX TINGE,12-26-2024,IND,https://my.hrdantwerp.com/?record_number=230000057359,,G,,https://app.raplab.com/ReportCheck/Viewer/V360.aspx?d=1720082&surl=https://s3.amazonaws.com/rap.lab/V360/v360&z=1&sv=0&btn=1234567&i=GetVideoStoneInfo.aspx?id=1720082&w=0&loc=expand,,https://s3.amazonaws.com/rap.certs/HRD/Certificates/2023/4/13/230000057359.pdf
150831134,467159505,Cushion Modified,1.01,J,SI1,VG,VG,VG,None,IGI,1.075,68.1,57.0,5.87x5.46x3.72,TK-VTK,-,-,,"44.5%, 32°","16.5%, 37.6°",,No Milky.,,-,-,-,LIGHT BROWN Wechat:kbgems Harshil Shah +91 9833951939,15K3-11,870.0,-0.71,878.7,,,,67551,K. B. GEMS,,,India,LIGHT BROWN Wechat:kbgems Harshil Shah +91 9833951939,12-26-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=467159505,,STPS,,https://diam360.in/files/Dia%20Image/newvideos/vision360.html?d=15K3-11&zoomslide=1,https://diam360.in/StoneDetailsFinal.aspx?Pcsid=15K3-11,https://s3.amazonaws.com/rap.certs/IGI/Certificates/2021/6/8/467159505.pdf
143491103,220000110936,Round,1.01,I,SI2,F,EX,VG,Slight,HRD,,66.6,53.0,6.10-6.19x4.11,"TK-TK, 6%, Faceted",-,-,50.0,"42%, 39.9°","19%, 39.2°",,-,,-,-,The stone in accordance with the mentioned number has been identified as a natural gem diamond.,MIX TINGE,LOT-9698,988.0,-0.726,997.88,,,,49688,SAUMIL DIAMOND,Mumbai,,India,MIX TINGE,12-26-2024,IND,https://my.hrdantwerp.com/?record_number=220000110936,,G,,https://app.raplab.com/ReportCheck/Viewer/V360.aspx?d=1548917&surl=https://s3.amazonaws.com/rap.lab/V360/v360&z=1&sv=0&btn=1234567&i=GetVideoStoneInfo.aspx?id=1548917&w=0&loc=expand,,https://s3.amazonaws.com/rap.certs/HRD/Certificates/2022/7/27/220000110936.pdf
160989214,632413344,Round,1.01,G,SI2,G,VG,VG,Slight,IGI,,68.4,55.0,6.04-6.08x4.15,TK-VTK,-,-,,-,-,,No black. No Milky.,,-,-,-,skype:GSD ANIL   WECHAT:GREENSTAR2900  WHATSAPP: +919913652932,3774,1290.0,-0.7,1302.9,,,,104437,GREEN STAR DIAMOND,SURAT,,India,skype:GSD ANIL   WECHAT:GREENSTAR2900  WHATSAPP: +919913652932,12-25-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=632413344,,G,,https://view.gem360.in/gem360.html?d=2905241532-3774,,https://s3.amazonaws.com/rap.certs/IGI/Certificates//632413344.pdf
162086947,631401945,Rose,0.62,I,VS1,,EX,EX,Very Slight,IGI,1.493,39.4,65.0,7.57x5.07x2.00,"TK-VTK, 7.1%",None,-,,"23%, 32.9°","9.5%, 29.2°",None,No Open. No Milky.,,-,-,N/A,(No Green-No Brown(No Milky-100% Eye Clean)(Above 15000$ free Shipping at NL BK US AUS & NZ) ROSE PEAR CUT,220702401,533.0,-0.704,330.46,,,,60745,C DINESH & CO,Mumbai,,India,(No Green-No Brown(No Milky-100% Eye Clean)(Above 15000$ free Shipping at NL BK US AUS & NZ) ROSE PEAR CUT,12-26-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=631401945,,G,,,https://www.pkstone.co.in/videodetail.aspx?vstr=4B002B00790058005400500035004A0077006D006C00720062002B007000640037004C006D006600680051003D003D00&OV=T,https://s3.amazonaws.com/rap.certs/IGI/Certificates//631401945.pdf
165216292,,Oval,1.5,K,SI2,,EX,VG,None,GIA,1.393,63.9,57.0,8.90x6.39x4.09,"STK-VTK, Faceted",None,-,,-,-,Green,"Black:BT1,BC2. Open:OT1,OT2. White:WT1,WC2. No Milky.",,-,"Crystal, Cloud, Feather, Needle, Indented Natural, Natural","Additional clouds, pinpoints and surface graining are not shown.",MIX TINGE UPGRADED COLOR [PHONE +224020333 Login to our website www.sj.world for better price],273271,988.0,-0.74,1482.0,,,,90062,SJW SHIVAM JEWELS PRIVATE LIMITED,Mumbai,,India,MIX TINGE UPGRADED COLOR [PHONE +224020333 Login to our website www.sj.world for better price],12-26-2024,IND,,100.0,STPS,,,https://thnk.azureedge.net/detail/media/Video/t53bgHqpSoxybqZAOI2wbg--,
165412901,7481475333,Emerald,0.91,K,VVS1,,EX,EX,None,GIA,1.356,71.7,64.0,6.13x4.52x3.24,"TK-VTK, Polished",None,-,,-,-,None,No Milky.,,-,"Pinpoint, Feather",-,https://www.sheetal.co/Details/StoneDetails/?stoneno=RF123725,RF123725,832.59,-0.713,757.6569,,,,106592,SHEETAL GROUP USA INC,New York,NY,USA,https://www.sheetal.co/Details/StoneDetails/?stoneno=RF123725,12-26-2024,USA,http://www.gia.edu/cs/Satellite?reportno=7481475333&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,G,,https://d21g74glrkyyov.cloudfront.net/RF123725/RF123725.mp4,https://www.sheetal.co/Details/StoneDetails/?stoneno=RF123725,https://certs.rapnet.com/UserFolders/106592/Certs/
160432163,240000099673,Heart,2.01,F,SI2,,EX,VG,None,HRD,0.807,63.0,63.0,6.81-8.44x5.32,-,None,-,,-,-,None,No Milky.,,-,-,-,NO BGM,13654,2730.0,-0.7,5487.3,,,,69595,VIPUL DIAMONDS,Mumbai,,India,NO BGM,12-24-2024,IND,https://my.hrdantwerp.com/?record_number=240000099673,,,,,https://v360.diamonds/u/b9d11031-bfa7-4426-95d7-4ac970b38ba1?m=d,https://s3.amazonaws.com/rap.certs/HRD/Certificates/2024/5/3/240000099673.pdf
164593708,,Sq. Emerald,0.9,G,IF,,EX,VG,None,HRD,1.012,67.7,69.0,5.23x5.17x3.50,M-M,None,-,,-,"14%, ",None,No black. No Open. No White. No Milky.,,-,-,-,[PHONE +224020333 Login to our website www.sj.world for better price],951058,1431.0,-0.73,1287.9,,,,90062,SJW SHIVAM JEWELS PRIVATE LIMITED,Mumbai,,India,[PHONE +224020333 Login to our website www.sj.world for better price],12-24-2024,IND,,100.0,STPS,,,https://thnk.azureedge.net/detail/media/Video/8db*FfrBqbA*WOIYeiC5lw--,
157827119,610305761,Round,1.0,L,SI2,EX,EX,EX,None,IGI,,61.5,60.0,6.42-6.46x3.95,"M-STK, 4.4%, Faceted",-,-,,"44.5%, 41.8°","12.5%, 32.3°",,-,,-,"Crystal, Cloud, Feather, Etch Channel",-,,93891,624.0,-0.74,624.0,,,,75660,MEET GEMS - Keval Shingala,Mumbai,,India,,12-25-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=610305761,,G,,,https://v360.in/detail/1536_228-62-29,https://s3.amazonaws.com/rap.certs/IGI/Certificates//610305761.pdf
162627632,593306110,Marquise,0.96,E,SI2,VG,EX,VG,None,IGI,1.787,62.7,59.0,9.15x5.12x3.21,Faceted,-,-,,-,-,None,No Milky.,,-,-,-,NO BGM. ,DJ306,1024.0,-0.68,983.04,,,,125470,D. J. Diam- Dhawal Jain,Mumbai,,India,NO BGM. ,12-26-2024,IND,http://report.igi.org/index.php/reports/verify_your_report?r=593306110,,G,,https://s3media.s3.ap-southeast-1.amazonaws.com/Vision360/Vision360.html?d=23166-45D,,https://certs.rapnet.com/UserFolders/125470/Certs/MQ. 0.96 E SI2.jpg
