URL,category,Product Title,Price,Images,Video Source,Prongs,Moissanite Facet Pattern,Stone Size,Stone,Metal,Band,Finger Size Info,images_Stone_size,image_metal,image_Finger_Ring_Size,Material,Cut,Clarity,Color,Additional Fatures
https://zenmoissanite.com/collections/rings/products/the-harley-oval-solitaire-with-hidden-halo,rings,Harley - Oval,"Rs. 105,200.00","https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5_edc20535-199f-49ab-a80a-a9e3a7cac680.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5-2_d7cf1996-7f62-458f-8311-f5094b17b6ec.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5-3_2dee663a-ee4c-4b8f-a3ab-4bbf6945d329.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5-4_aa9f4a81-db91-487c-b7d2-a5c839d372f7.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5-5_f88d32ea-3591-4a6c-869c-ddb6c2dda7f3.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5Lifestyle-3_350e0f97-c33a-4de4-be0f-d50b0d801410.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5Lifestyle-4_20759a46-5ed9-4d36-8ca5-19bcfd7d42b5.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5Lifestyle-5_a052801c-233b-40e6-a4de-b0ed40593b37.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5Lifestyle-6_a3329734-9662-4d62-95bb-1818ce924381.jpg, https://zenmoissanite.com/cdn/shop/files/Instock_11x8mm_3.5cte_BrilliantOval4-prongHarley_1.7mmplainband_-14kYG-Size6.5Lifestyle_582d09b1-d19f-499a-9e08-921c64121fa4.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/7164ae0107d04c61ab2e80267d397ee7.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/7164ae0107d04c61ab2e80267d397ee7/7164ae0107d04c61ab2e80267d397ee7.HD-1080p-7.2Mbps-16628070.mp4?v=0,,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes","11x8mm brilliant oval in 14k yellow gold, size 6.5 (shown on a size 4.75 finger).",,,,,,,"• Metal of choice + Moissanite from Zen Moissanite• Cut: Oval (antique, hybrid, brilliant or crushed ice)• Clarity: VVS1/VVS2• Color: Colorless (DEF)"
https://zenmoissanite.com/collections/rings/products/the-harley-crushed-ice-radiant,rings,Harley - Radiant,"Rs. 105,200.00","https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/77a28a1cfcaf48f5b14576fb72d13db3.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/77a28a1cfcaf48f5b14576fb72d13db3/77a28a1cfcaf48f5b14576fb72d13db3.HD-1080p-7.2Mbps-9347800.mp4?v=0,,,,,,,,9x7mm crushed ice radiant,18k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Radiant (crushed ice or brilliant),VVS1/VVS2,Colorless (DEF),Our signature solitaire design featuring claw prongs and a hidden halo.
https://zenmoissanite.com/collections/rings/products/cecilia-emerald,rings,Cecilia - Emerald,"Rs. 117,500.00","https://zenmoissanite.com/cdn/shop/files/9x6mm_2.4cte_Emerald4-prongCecilia_1.7mmplainband_-14kYG-Size5.5.jpg, https://zenmoissanite.com/cdn/shop/files/9x6mm_2.4cte_Emerald4-prongCecilia_1.7mmplainband_-14kYG-Size5.52.jpg, https://zenmoissanite.com/cdn/shop/files/9x6mm_2.4cte_Emerald4-prongCecilia_1.7mmplainband_-14kYG-Size5.53.jpg, https://zenmoissanite.com/cdn/shop/files/9x6mm_2.4cte_Emerald4-prongCecilia_1.7mmplainband_-14kYG-Size5.5-3.jpg, https://zenmoissanite.com/cdn/shop/files/9x6mm_2.4cte_Emerald4-prongCecilia_1.7mmplainband_-14kYG-Size5.5-1.jpg, https://zenmoissanite.com/cdn/shop/files/9x6mm_2.4cte_Emerald4-prongCecilia_1.7mmplainband_-14kYG-Size5.5-2.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/575e28c167be4fee9bf8b8b5741394f6.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/f11bd8053f554e1481ecbf5df55ce187.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/4569e4e6bc2a48fe9947728b762af4d8.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/575e28c167be4fee9bf8b8b5741394f6/575e28c167be4fee9bf8b8b5741394f6.HD-1080p-7.2Mbps-33797367.mp4?v=0,,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",9x6mm emerald,14k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Emerald,VVS1-VVS2,Colorless (DEF),"Adorned collectionPlease note that all of our standard ring settings come with moissanite accent stones (band pavé stones, halo stones, hidden halo, etc.) even if you select a lab-diamond center stone. If you are interested in lab-diamond accent stones, our team can provide a quote based off of your order after your order has been placed. Please notify our team of your interest for lab-diamond accent stones in the notes section of the order, or via email at team@zenmoissanite.com"
https://zenmoissanite.com/collections/rings/products/the-jasmine-oval-ring-with-invisible-gallery,rings,Jasmine (with Pavé) - Oval,"Rs. 145,400.00","https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3_4paveband_-18kYG-Size6.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3_4paveband_-18kYG-Size62.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3_4paveband_-18kYG-Size63.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3-4paveband_-18kYG-Size6-Lifestyles-1.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3-4paveband_-18kYG-Size6-Lifestyles-2.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3-4paveband_-18kYG-Size6-Lifestyles-3.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongJasmine_1.8mm3-4paveband_-18kYG-Size6-Lifestyles-4.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/155b4249510b4470b95ff7381f728849.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/88f3336457f74626876151417251a429.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/155b4249510b4470b95ff7381f728849/155b4249510b4470b95ff7381f728849.HD-1080p-7.2Mbps-32473462.mp4?v=0,,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",10x7mm (2.5ct equivalent) brilliant oval in 18k yellow gold.,Shown on a size 4.75 finger,,Metal of Choice + Moissanite from Zen,,VVS Color: Colorless (EF),,"Moissanite Cut: Oval (antique, hybrid, brilliant or crushed ice)DisclaimerDue to the invisible gallery feature, this ring design cannot undergo a standard resizing process. Please note that recasting is required for any size adjustments, whether it is to size up or down."
https://zenmoissanite.com/collections/rings/products/copy-of-jasmine-with-pave-marquise,rings,Gisèle - Marquise,"Rs. 111,400.00","https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5-2.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5-3.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5-4.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5-5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Closeup-3.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Closeup-5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/products/86c21d7ee1744e5c826011cf2fb882c9.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_16x8mm_3.9cte_Marquise6-prongGisele_1.7mmplainband_-14kYG-Size5Lifestyle.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/86c21d7ee1744e5c826011cf2fb882c9/86c21d7ee1744e5c826011cf2fb882c9.HD-1080p-7.2Mbps-11336052.mp4?v=0,,,,,,,,16x8mm (3.9cte) Marquise,14k yellow gold,Shown on a size 4.75 finger.,Gold of choice + Moissanite from Zen Moissanite,,VVS1/VVS2,Colorless (DEF),"DisclaimerDue to the invisible gallery feature, this ring design cannot undergo a standard resizing process. Please note that recasting is required for any size adjustments, whether it is to size up or down."
https://zenmoissanite.com/collections/rings/products/the-harley-pear-solitaire,rings,Harley - Pear,"Rs. 105,200.00","https://zenmoissanite.com/cdn/shop/files/11x7.5mm_2.95cte_CrushedIcePear4-prongHarley_1.7mmplainband_-14kYG-Size6.5.jpg, https://zenmoissanite.com/cdn/shop/files/11x7.5mm_2.95cte_CrushedIcePear4-prongHarley_1.7mmplainband_-14kYG-Size6.5-2.jpg, https://zenmoissanite.com/cdn/shop/files/11x7.5mm_2.95cte_CrushedIcePear4-prongHarley_1.7mmplainband_-14kYG-Size6.5-3.jpg, https://zenmoissanite.com/cdn/shop/files/11x7.5mm_2.95cte_CrushedIcePear4-prongHarley_1.7mmplainband_-14kYG-Size6.5-4.jpg, https://zenmoissanite.com/cdn/shop/files/11x7.5mm_2.95cte_CrushedIcePear4-prongHarley_1.7mmplainband_-14kYG-Size6.5-5.jpg",,,,,,,,,11x7.5mm crushed ice pear,14k yellow gold,,Metal of choice + Moissanite from Zen Moissanite,Pear (crushed ice or brilliant),VVS1-VVS2,Colorless (DEF),Our signature solitaire design featuring claw prongs and a hidden halo.
https://zenmoissanite.com/collections/rings/products/the-jasmine-oval-ring-with-invisible-gallery-plain-gold-band,rings,Jasmine - Oval,"Rs. 99,000.00","https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5-2.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5-3.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5-4.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5-5.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5Closeup.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5Closeup-2.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5Closeup-3.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5Closeup-5.jpg, https://zenmoissanite.com/cdn/shop/products/11x7mmOvalBrilliantJasmine_PlainBand_-14kYG-Size9.5Closeup-4.jpg",,,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",11x7mm oval brilliant,14k yellow gold,,Metal of choice + Moissanite from Zen Moissanite,"Oval (antique, hybrid, brilliant or crushed ice)",VVS1-VVS2,Colorless (DEF),"DisclaimerDue to the invisible gallery feature, this ring design cannot undergo a standard resizing process. Please note that recasting is required for any size adjustments, whether it is to size up or down."
https://zenmoissanite.com/collections/rings/products/the-harley-h-a-prong-solitaire,rings,Harley - Round,"Rs. 105,200.00","https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5-2.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5-3.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5-4.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5-5.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Closeup.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Closeup-2.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Closeup-3.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Closeup-4.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Closeup-5.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/10mm_4cte_H_ARound4-prongHarley_1.7mmplainband_-18kYG-Size6.5Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/77952f5a0ab249c6b5f4d3ba63efd4db.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/77952f5a0ab249c6b5f4d3ba63efd4db/77952f5a0ab249c6b5f4d3ba63efd4db.HD-1080p-7.2Mbps-9620086.mp4?v=0,"4 Prongs, 6 Prongs",,,,,,,10mm round brilliant (H&A),14k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Hearts and Arrows (H&A) or Old European Cut (OEC),VVS1-VVS2,Colorless (DEF),Our signature solitaire design featuring claw prongs and a hidden halo.
https://zenmoissanite.com/collections/rings/products/the-harley-oval-solitaire-with-hidden-halo-pave-band,rings,Harley (with Pavé) - Oval,"Rs. 151,600.00","https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6.jpg, https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6-2.jpg, https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6-3.jpg, https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6-4.jpg, https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6-5.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/85cd2153702e43f692f49e6bc76e773b.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/326480965de74854a3ea3d12c7147a46.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/files/11x7mm_2.9cte_CrushedIceOval4-prongHarley_1.7mmfullpaveband_-18kYG-Size6Lifestyle-2.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/85cd2153702e43f692f49e6bc76e773b/85cd2153702e43f692f49e6bc76e773b.HD-1080p-7.2Mbps-16628191.mp4?v=0,,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",11x7mm crushed ice oval,18k yellow gold,(customized to have pavé full eternity - not included),Metal of choice + Moissanite from Zen Moissanite,"Oval (antique, hybrid, brilliant or crushed ice)",VVS1-VVS2,Colorless (DEF),Our signature solitaire with pavé (covering 3/4 of band) design featuring claw prongs and a hidden halo.
https://zenmoissanite.com/collections/rings/products/the-caroline-oval-cathedral-solitaire-with-hidden-halo,rings,Caroline - Oval,"Rs. 117,500.00","https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_1.7mmplainband_-14kYG-Size8.5.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_1.7mmplainband_-14kYG-Size8.5-3.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_1.7mmplainband_-14kYG-Size8.5-4.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_1.7mmplainband_-14kYG-Size8.5-2.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_1.7mmplainband_-14kYG-Size8.5-5.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_2mmplainband_-18kYG-Size9.5Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_2.5cte_BrilliantOval4-prongCaroline_2mmplainband_-18kYG-Size9.5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/13830b87388244f486d5ee9c46d8e1bb.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/13830b87388244f486d5ee9c46d8e1bb/13830b87388244f486d5ee9c46d8e1bb.HD-1080p-7.2Mbps-21041469.mp4?v=0,,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",10x7mm oval brilliant in 14k yellow gold,,,Metal of choice + Moissanite from Zen Moissanite,"Oval (antique, hybrid, brilliant or crushed ice)",VVS,Colorless (EF),
